city,latitude,longitude,host
Tokyo,35.6895,139.69171,146.75.113.112
Ashburn,39.04372,-77.48749,54.85.197.183
San Francisco,37.7621,-122.3971,199.232.89.164
San Jose,37.33939,-121.89496,151.101.41.164
Kansas City,39.09973,-94.57857,35.227.202.125
Jacksonville,30.33218,-81.65565,146.75.85.112
Atlanta,33.749,-84.38798,146.75.45.164
New York City,40.71427,-74.00597,199.232.161.112
Copenhagen,55.67594,12.56553,199.232.41.112
Atlanta,33.749,-84.38798,151.101.205.112
San Francisco,37.7621,-122.3971,199.232.197.112
San Francisco,37.7621,-122.3971,199.232.241.112
Ashburn,39.04372,-77.48749,34.237.255.235
San Francisco,37.7621,-122.3971,199.232.85.164
San Francisco,37.7621,-122.3971,199.232.61.112
San Jose,37.33939,-121.89496,151.101.189.112
Bangkok,13.75398,100.50144,199.232.165.112
San Francisco,37.7621,-122.3971,167.82.113.164
Perth,-31.95224,115.8614,151.101.105.164
Amsterdam,52.37403,4.88969,151.101.37.112
Houston,29.76328,-95.36327,151.101.181.164
San Francisco,37.7621,-122.3971,167.82.117.112
Columbus,39.96118,-82.99879,151.101.145.112
Tokyo,35.6895,139.69171,146.75.113.164
Kansas City,39.09973,-94.57857,34.117.7.150
San Francisco,37.7621,-122.3971,167.82.117.164
Central,22.28299,114.15846,151.101.77.112
San Francisco,37.7621,-122.3971,199.232.213.112
Kansas City,39.09973,-94.57857,34.107.242.150
Helsinki,60.16952,24.93545,151.101.245.164
Los Angeles,34.05223,-118.24368,199.232.93.112
Kansas City,39.09973,-94.57857,34.111.81.173
San Francisco,37.7621,-122.3971,199.232.105.164
Atlanta,33.749,-84.38798,146.75.45.112
Kansas City,39.09973,-94.57857,34.120.116.194
San Francisco,37.7621,-122.3971,146.75.13.112
Kansas City,39.09973,-94.57857,34.120.147.5
Köln,50.93333,6.95,bibproxy.khm.de
San Jose,37.33939,-121.89496,151.101.41.112
San Francisco,37.7621,-122.3971,167.82.89.112
Karlsruhe,49.00937,8.40444,202.61.236.38
Ashburn,39.04372,-77.48749,54.146.119.41
Tokyo,35.6895,139.69171,151.101.109.112
Los Angeles,34.05223,-118.24368,146.75.93.164
San Francisco,37.7621,-122.3971,151.101.237.164
Kansas City,39.09973,-94.57857,35.244.188.62
San Francisco,37.7621,-122.3971,199.232.233.112
Kansas City,39.09973,-94.57857,34.120.39.197
Los Angeles,34.05223,-118.24368,199.232.93.164
